asin,name,height,width,length,weight,quantity
0002624028,THE KREMLIN'S DILEMMA: The Struggle for Human Rights in Eastern Europe,1.4960629906,5.6692913328,8.267716527,1.19,2
0023541458,Petrography to Petrogenesis,1.199999998776,8.299999991534,10.99999998878,3.25,1
0060191341,RealAge: Are You as Young as You Can Be?,1.299999998674,6.399999993472,9.299999990514,1.35,2
0060580860,The Frog and Toad Collection Box Set (I Can Read Level 2),0.899999999082,5.99999999388,8.99999999082,0.9499999992033388,2
0062073508,Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),1.299999998674,3.899999996022,6.599999993268,0.35,3
0062110500,The Wig in the Window,1.299999998674,5.299999994594,8.299999991534,1.05,1
0062267280,Up in Honey's Room,0.899999999082,5.199999994696,7.899999991942001,0.55,1
0062466348,All Summer Long LP: A Novel,1.199999998776,5.99999999388,8.99999999082,1.189999999002077,6
0077861671,"Investments, 10th Edition",1.599999998368,8.099999991737999,10.099999989698,4.1,2
0078035198,Health Psychology,0.99999999898,8.199999991636,10.099999989698,2.6,1
0132836726,Foundations of American Education: Becoming Effective Teachers in Challenging Times (16th Edition),0.6999999992859999,8.49999999133,10.699999989086,1.7500000000000002,2
0133450899,"Consumer Behavior: Buying, Having, and Being (11th Edition)",1.0999999988780005,8.699999991126,10.99999998878,3.05,2
0133486877,"Introduction to Econometrics, Update (3rd Edition) (Pearson Series in Economics)",1.299999998674,7.399999992452001,9.199999990616,2.75,2
0133769399,Starting Out with C++ from Control Structures to Objects (8th Edition),2.99999999694,6.99999999286,11.99999998776,4.35,2
0133985008,Social Problems Plus MySocLab without Pearson eText -- Access Card Package (6th Edition),0.299999999694,8.399999991432,10.799999988984,2.4,2
0135853982,The Miracle of Mind Dynamics: Use Your Subconscious Mind to Obtain Complete Control Over Your Destiny,0.599999999388,5.099999994798,8.099999991738,0.45,2
0140562737,Miss Bindergarten Gets Ready for Kindergarten (Miss Bindergarten Books (Paperback)),0.099999999898,8.799999991024,10.799999988984,0.55,1
0142000663,The Grapes of Wrath (Centennial Edition),1.3999999985719995,5.99999999388,8.199999991636,1.15,1
0143036912,Oh the Glory of It All,1.09842519573,5.40157479764,8.29921258996,0.9500159794104,2
0143127535,How Not to Be Wrong: The Power of Mathematical Thinking,1.0999999988780005,5.49999999439,8.099999991737999,0.85,4
0192805681,Mandela: A Critical Life,1.4173228332,5.1968503884,7.7952755826,0.9700119065738,2
0199931801,Quantitative Research Methods for Communication: A Hands-On Approach,0.99999999898,7.899999991942001,9.899999989902,2.45,1
0205902278,Literature and the Writing Process (10th Edition),1.199999998776,6.399999993472,9.099999990718,1.7,1
0300091052,First Nights: Five Musical Premiers,0.899999999082,6.99999999286,9.899999989902,1.55,2
0307406199,"You're So Money: Live Rich, Even When You're Not",0.699999999286,5.49999999439,8.099999991738,0.45,2
0307981584,Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book),0.399999999592,6.899999992962,7.899999991942001,0.4,26
0307985954,Infinite Potential: What Quantum Physics Reveals About How We Should Live,1.3385826758,6.299212592,9.3700787306,1.1904840640480427,3
0312045999,Death Is a Two-Stroke Penalty: A Hacker Mystery,0.799999999184,5.799999994084,8.399999991432,1.6,2
0312337353,Hey Ya!: The Unauthorized Biography of Outkast,0.599999999388,5.399999994492,8.099999991738,0.55,1
0312564945,The September Society (Charles Lenox Mysteries),0.899999999082,5.399999994492,8.199999991636,0.6,2
0312565631,Mortal Causes: An Inspector Rebus Novel (Inspector Rebus Novels),0.99999999898,5.599999994287999,8.399999991432,0.8000000000000002,1
