image,sku,asin,name,quantity,height,width,length,weight,expected_total_qty
../data/bin-images/00001.jpg,B000C33MI2,B000C33MI2,FRAM XG7317 ULTRA Spin-On Oil Filter with Sure Grip,4,2.79921259557,2.90157480019,3.90157479917,0.3000050461296,12
../data/bin-images/00001.jpg,B0050Z27KG,B0050Z27KG,"Suncatcher - Axicon Rainbow Window - Includes Bonus ""Rainbow on Board"" Sun Catcher",2,0.899999999082,7.699999992146,11.299999988474,0.5,12
../data/bin-images/00001.jpg,B01BV89HNU,B01BV89HNU,"Type C, iOrange-E 2 Pack 6.6 Ft Braided Cable for Nexus 6P, Nexus 5X, Onplus 2, Lumia 950, LG G5, Apple Macbook 12 inch, ChromeBook Pixel, Nokia N1 Tablet and Other USB C Devices, Black",6,2.1999999977560005,3.899999996022,3.99999999592,0.3499999997064932,12
../data/bin-images/00002.jpg,0307981584,0307981584,Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book),13,0.399999999592,6.899999992962,7.899999991942001,0.4,17
../data/bin-images/00002.jpg,B000052XHI,B000052XHI,"First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary",2,1.599999998368,3.299999996634,7.799999992044,0.022046001167587297,17
../data/bin-images/00002.jpg,B00GHT7T16,B00GHT7T16,DORMAN 911-614 Power Steering Air Control Valve,2,2.49999999745,2.49999999745,3.599999996328,0.20000000000000004,17
../data/bin-images/00003.jpg,0307981584,0307981584,Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book),13,0.399999999592,6.899999992962,7.899999991942001,0.4,16
../data/bin-images/00003.jpg,B000052XHI,B000052XHI,"First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary",2,1.599999998368,3.299999996634,7.799999992044,0.022046001167587297,16
../data/bin-images/00003.jpg,B00GHT7T16,B00GHT7T16,DORMAN 911-614 Power Steering Air Control Valve,1,2.49999999745,2.49999999745,3.599999996328,0.20000000000000004,16
../data/bin-images/00004.jpg,B003E72M1G,B003E72M1G,"Buxton Heiress Double Cardex Wallet, Mahogany, One Size",3,1.199999998776,4.399999995512001,5.099999994798,0.4,5
../data/bin-images/00004.jpg,B00CLCIQDI,B00CLCIQDI,"Renew Life Daily Liver Support, 60 Veggie Capsules",1,2.299999997654,2.49999999745,4.799999995104,0.022046001186074866,5
../data/bin-images/00004.jpg,B00H47IY4G,B00H47IY4G,Android Cop [Blu-ray],1,0.58267716476,5.41732282912,7.09842518961,0.18333454586339856,5
../data/bin-images/00005.jpg,B003E72M1G,B003E72M1G,"Buxton Heiress Double Cardex Wallet, Mahogany, One Size",3,1.199999998776,4.399999995512001,5.099999994798,0.4,4
../data/bin-images/00005.jpg,B00H47IY4G,B00H47IY4G,Android Cop [Blu-ray],1,0.58267716476,5.41732282912,7.09842518961,0.18333454586339856,4
../data/bin-images/00006.jpg,B00NFZYM5Q,B00NFZYM5Q,Sunkist Fruit Gems (2 lb. bag),1,2.7999999971439995,8.599999991228,8.699999991126,2.15,5
../data/bin-images/00006.jpg,B01D8030L4,B01D8030L4,"Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set",4,2.099999997858,6.199999993676,6.299999993574,0.7499999993710571,5
../data/bin-images/00007.jpg,B01D8030L4,B01D8030L4,"Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set",4,2.099999997858,6.199999993676,6.299999993574,0.7499999993710571,4
../data/bin-images/00008.jpg,B002UC6P6E,B002UC6P6E,JR Products 10845 White Fold Down Camper Latch and Catch,1,1.199999998776,3.299999996634,7.099999992758,0.65,19
../data/bin-images/00008.jpg,B017TQ9IWS,B017TQ9IWS,Manicure Kit - 3 Pcs - Ultimate Personal Care Set With Nail Scissors Pocket Size - Perfect for Travel or for Gift - Black,18,0.899999999082,2.49999999745,4.199999995716,0.14999999987421142,19
../data/bin-images/00009.jpg,B015TC63LI,B015TC63LI,My Little Pony POP and Starter Kits,1,3.49999999643,6.099999993778,6.799999993064,0.7499999993710571,1
../data/bin-images/00010.jpg,B00ZS4HK0Q,B00ZS4HK0Q,"ASUS Chromebook Flip 10.1-Inch Convertible 2 in 1 Touchscreen (Rockchip, 4 GB, 16GB SSD, Silver)",3,2.7999999971439995,8.99999999082,12.299999987454,2.199999998155101,4
